"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"ERX10399011","Illumina NovaSeq 6000 paired end sequencing; I28_3_369","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733728","Pacific oyster","1598.94","1","21495052","4313740381","i28-3-369","Bisulfite-Seq","GENOMIC","other"
"ERX10399010","Illumina NovaSeq 6000 paired end sequencing; I27_2_286","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733727","Pacific oyster","2186.37","1","31152467","6239157581","i27-2-280","Bisulfite-Seq","GENOMIC","other"
"ERX10399009","Illumina NovaSeq 6000 paired end sequencing; I2_6_554","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733726","Pacific oyster","2656.17","1","36317280","7286204365","i2-6-554","Bisulfite-Seq","GENOMIC","other"
"ERX10399008","Illumina NovaSeq 6000 paired end sequencing; I25_7_668","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733725","Pacific oyster","2187.02","1","29919032","6000097848","i25-7-668","Bisulfite-Seq","GENOMIC","other"
"ERX10399007","Illumina NovaSeq 6000 paired end sequencing; I24_3_366","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733724","Pacific oyster","1553.82","1","21262388","4267980478","i24-3-366","Bisulfite-Seq","GENOMIC","other"
"ERX10399006","Illumina NovaSeq 6000 paired end sequencing; I23_3_367","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733723","Pacific oyster","1960.04","1","27044076","5430037767","i23-3-367","Bisulfite-Seq","GENOMIC","other"
"ERX10399005","Illumina NovaSeq 6000 paired end sequencing; I21_3_394","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733722","Pacific oyster","2437.02","1","34741728","6964792246","i21-3-394","Bisulfite-Seq","GENOMIC","other"
"ERX10399004","Illumina NovaSeq 6000 paired end sequencing; I20_5_500","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733721","Pacific oyster","2122.59","1","30257370","6069606972","i20-5-500","Bisulfite-Seq","GENOMIC","other"
"ERX10399003","Illumina NovaSeq 6000 paired end sequencing; I19_2_299","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733720","Pacific oyster","1447.11","1","19690690","3953190833","i19-2-299","Bisulfite-Seq","GENOMIC","other"
"ERX10399002","Illumina NovaSeq 6000 paired end sequencing; I17_5_510","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733719","Pacific oyster","2342.82","1","33351146","6691302834","i17-5-510","Bisulfite-Seq","GENOMIC","other"
"ERX10399001","Illumina NovaSeq 6000 paired end sequencing; I12_6_616","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733718","Pacific oyster","3576.49","1","48543524","9747161443","i12-6-616","Bisulfite-Seq","GENOMIC","other"
"ERX10399000","Illumina NovaSeq 6000 paired end sequencing; I1_2_325","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733717","Pacific oyster","1727.26","1","24185415","4853838023","i1-2-325","Bisulfite-Seq","GENOMIC","other"
"ERX10398999","Illumina NovaSeq 6000 paired end sequencing; I11_3_387","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733716","Pacific oyster","2004.42","1","28645708","5744653978","i11-3-387","Bisulfite-Seq","GENOMIC","other"
"ERX10398998","Illumina NovaSeq 6000 paired end sequencing; E9_5_78","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733715","Pacific oyster","1046","1","14983027","3006501470","e9-5-78","Bisulfite-Seq","GENOMIC","other"
"ERX10398997","NextSeq 550 paired end sequencing; E8_7_681","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733714","Pacific oyster","3690.24","1","30209678","9110105391","E8-7-681_S47_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398996","Illumina NovaSeq 6000 paired end sequencing; E7_4_20","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733713","Pacific oyster","733.5","1","10435297","2094780725","e7-4-20","Bisulfite-Seq","GENOMIC","other"
"ERX10398995","Illumina NovaSeq 6000 paired end sequencing; E60_8_8","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733712","Pacific oyster","2227.63","1","31656207","6352855450","e60-8-8","Bisulfite-Seq","GENOMIC","other"
"ERX10398994","Illumina NovaSeq 6000 paired end sequencing; E59_2_5","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733711","Pacific oyster","1125.72","1","16018787","3214183213","e59-2-5","Bisulfite-Seq","GENOMIC","other"
"ERX10398993","Illumina NovaSeq 6000 paired end sequencing; E58_1_152","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733710","Pacific oyster","3416.41","1","48635823","9764686818","e58-1-152","Bisulfite-Seq","GENOMIC","other"
"ERX10398992","Illumina NovaSeq 6000 paired end sequencing; E56_8_211","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733709","Pacific oyster","1556.32","1","21243795","4259824897","e56-8-211","Bisulfite-Seq","GENOMIC","other"
"ERX10398991","Illumina NovaSeq 6000 paired end sequencing; E53_7_53","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733708","Pacific oyster","1139.18","1","16305569","3270154512","e53-7-53","Bisulfite-Seq","GENOMIC","other"
"ERX10398990","Illumina NovaSeq 6000 paired end sequencing; E52_5_485","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733707","Pacific oyster","61.41","1","834413","166973477","e52-5-485","Bisulfite-Seq","GENOMIC","other"
"ERX10398989","Illumina NovaSeq 6000 paired end sequencing; E48_4_114","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733706","Pacific oyster","1540.67","1","22004726","4411591967","e48-4-114","Bisulfite-Seq","GENOMIC","other"
"ERX10398988","Illumina NovaSeq 6000 paired end sequencing; E42_4_3","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733705","Pacific oyster","1868.62","1","26403489","5302034657","e42-4-3","Bisulfite-Seq","GENOMIC","other"
"ERX10398987","Illumina NovaSeq 6000 paired end sequencing; E41_7_658","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733704","Pacific oyster","1241.01","1","17201840","3453230331","e41-7-658","Bisulfite-Seq","GENOMIC","other"
"ERX10398986","NextSeq 550 paired end sequencing; E4_1_256","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733703","Pacific oyster","3551.6","1","29096346","8774914467","E4-1-256_S28_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398985","Illumina NovaSeq 6000 paired end sequencing; E40_7_670","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733702","Pacific oyster","1771.38","1","24843010","4985070849","e40-7-670","Bisulfite-Seq","GENOMIC","other"
"ERX10398984","Illumina NovaSeq 6000 paired end sequencing; E37_5_51","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733701","Pacific oyster","2585.82","1","35282381","7058059471","e37-5-51","Bisulfite-Seq","GENOMIC","other"
"ERX10398983","Illumina NovaSeq 6000 paired end sequencing; E35_4_28","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733700","Pacific oyster","1274.1","1","18039671","3615484305","e35-4-28","Bisulfite-Seq","GENOMIC","other"
"ERX10398982","Illumina NovaSeq 6000 paired end sequencing; E3_4_76","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733699","Pacific oyster","698.73","1","9958792","1995411070","e3-4-76","Bisulfite-Seq","GENOMIC","other"
"ERX10398981","Illumina NovaSeq 6000 paired end sequencing; E34_6_67","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733698","Pacific oyster","1696.76","1","23268871","4661486654","e34-6-67","Bisulfite-Seq","GENOMIC","other"
"ERX10398980","Illumina NovaSeq 6000 paired end sequencing; E33_3_75","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733697","Pacific oyster","1047.06","1","14906364","2988220545","e33-3-75","Bisulfite-Seq","GENOMIC","other"
"ERX10398979","NextSeq 550 paired end sequencing; E32_8_697","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733696","Pacific oyster","3099.18","1","25538943","7701678386","E32-8-697_S41_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398978","NextSeq 550 paired end sequencing; E31_3_122","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733695","Pacific oyster","2287.75","1","18131454","5468565269","E31-3-122_S35_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398977","Illumina NovaSeq 6000 paired end sequencing; E29_3_395","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733694","Pacific oyster","1361.8","1","18473558","3706446218","e29-3-395","Bisulfite-Seq","GENOMIC","other"
"ERX10398976","Illumina NovaSeq 6000 paired end sequencing; E27_4_21","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733693","Pacific oyster","2131.76","1","30370333","6097623087","e27-4-21","Bisulfite-Seq","GENOMIC","other"
"ERX10398975","Illumina NovaSeq 6000 paired end sequencing; E22_6_595","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733692","Pacific oyster","2812.4","1","38654300","7742935071","e22-6-595","Bisulfite-Seq","GENOMIC","other"
"ERX10398974","Illumina NovaSeq 6000 paired end sequencing; E21_8_133","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733691","Pacific oyster","2418.73","1","33117935","6631875199","e21-8-133","Bisulfite-Seq","GENOMIC","other"
"ERX10398973","NextSeq 550 paired end sequencing; E2_1_267","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733690","Pacific oyster","4540.14","1","36572035","11030089114","E2-1-267_S29_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398972","NextSeq 550 paired end sequencing; E20_1_210","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733689","Pacific oyster","4196.28","1","34707474","10467419333","E20-1-210_S34_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398971","Illumina NovaSeq 6000 paired end sequencing; E16_5_50","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733688","Pacific oyster","1514.04","1","21557794","4320270223","e16-5-50","Bisulfite-Seq","GENOMIC","other"
"ERX10398970","Illumina NovaSeq 6000 paired end sequencing; E14_6_556","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733687","Pacific oyster","543.36","1","7863305","1566469648","e14-6-556","Bisulfite-Seq","GENOMIC","other"
"ERX10398969","Illumina NovaSeq 6000 paired end sequencing; E13_6_204","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733686","Pacific oyster","2726.06","1","38860853","7796182545","e13-6-204","Bisulfite-Seq","GENOMIC","other"
"ERX10398968","NextSeq 550 paired end sequencing; E12_5_129","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733685","Pacific oyster","2498.07","1","19905670","6003901108","E12-5-129_S41_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398967","Illumina NovaSeq 6000 paired end sequencing; E11_7_86","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733684","Pacific oyster","1734.07","1","24874870","4978003899","e11-7-86","Bisulfite-Seq","GENOMIC","other"
"ERX10398966","Illumina NovaSeq 6000 paired end sequencing; E1_1_241","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733683","Pacific oyster","3150.62","1","44753756","8968311325","e1-1-241","Bisulfite-Seq","GENOMIC","other"
"ERX10398965","Illumina NovaSeq 6000 paired end sequencing; E10_3_187","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733682","Pacific oyster","1230.84","1","17674467","3528115715","e10-3-187","Bisulfite-Seq","GENOMIC","other"
"ERX10398964","Illumina NovaSeq 6000 paired end sequencing; D8_4_472","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733681","Pacific oyster","1478.57","1","21060552","4223756667","d8-4-472","Bisulfite-Seq","GENOMIC","other"
"ERX10398963","Illumina NovaSeq 6000 paired end sequencing; D6_3_397","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733680","Pacific oyster","2771.78","1","39094528","7845220312","d6-3-397","Bisulfite-Seq","GENOMIC","other"
"ERX10398962","Illumina NovaSeq 6000 paired end sequencing; D60_7_97","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733679","Pacific oyster","2339.02","1","32088037","6408517695","d60-7-97","Bisulfite-Seq","GENOMIC","other"
"ERX10398961","Illumina NovaSeq 6000 paired end sequencing; D5_8_88","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733678","Pacific oyster","2789.02","1","39848361","7998671793","d5-7-88","Bisulfite-Seq","GENOMIC","other"
"ERX10398960","NextSeq 550 paired end sequencing; D57_7_83","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733677","Pacific oyster","3094.28","1","25550039","7704130219","D57-7-83_S45_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398959","Illumina NovaSeq 6000 paired end sequencing; D56_4_19","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733676","Pacific oyster","2530.65","1","20395043","6151206134","D56-4-19_S49_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398958","Illumina NovaSeq 6000 paired end sequencing; D54_1_23","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733675","Pacific oyster","2218.45","1","31467587","6315937064","d54-1-23","Bisulfite-Seq","GENOMIC","other"
"ERX10398957","NextSeq 550 paired end sequencing; D52_7_646","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733674","Pacific oyster","3192.48","1","25432331","7669668112","D52-7-646_S40_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398956","Illumina NovaSeq 6000 paired end sequencing; D51_7_81","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733673","Pacific oyster","2336.36","1","32000225","6411305841","d51-7-81","Bisulfite-Seq","GENOMIC","other"
"ERX10398955","NextSeq 550 paired end sequencing; D50_8_117","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733672","Pacific oyster","2588.26","1","20420557","6159227787","D50-8-117_S46_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398954","NextSeq 550 paired end sequencing; D49_8_713","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733671","Pacific oyster","2422.15","1","21879077","6596970634","D49-7-713_S33_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398953","NextSeq 550 paired end sequencing; D47_2_290","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733670","Pacific oyster","5153.82","1","42433273","12797849811","D47-2-290_S31_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398952","Illumina NovaSeq 6000 paired end sequencing; D45_8_89","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733669","Pacific oyster","2464.9","1","33300947","6682516102","d45-8-89","Bisulfite-Seq","GENOMIC","other"
"ERX10398951","NextSeq 550 paired end sequencing; D44_5_79","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733668","Pacific oyster","2573.62","1","20539479","6194969299","D44-5-79_S43_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398950","Illumina NovaSeq 6000 paired end sequencing; D43_3_390","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733667","Pacific oyster","2404.43","1","32778564","6576470311","d43-3-390","Bisulfite-Seq","GENOMIC","other"
"ERX10398949","Illumina NovaSeq 6000 paired end sequencing; D40_4_11","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733666","Pacific oyster","1565.58","1","21676798","4349522149","d40-4-11","Bisulfite-Seq","GENOMIC","other"
"ERX10398948","Illumina NovaSeq 6000 paired end sequencing; D38_3_363","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733665","Pacific oyster","1356.7","1","18632781","3740406120","d38-3-363","Bisulfite-Seq","GENOMIC","other"
"ERX10398947","Illumina NovaSeq 6000 paired end sequencing; D36_3_60","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733664","Pacific oyster","1400.23","1","20001525","4011471508","d36-3-60","Bisulfite-Seq","GENOMIC","other"
"ERX10398946","Illumina NovaSeq 6000 paired end sequencing; D35_5_179","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733663","Pacific oyster","2449.69","1","35103007","7044638943","d35-5-179","Bisulfite-Seq","GENOMIC","other"
"ERX10398945","Illumina NovaSeq 6000 paired end sequencing; D34_4_6","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733662","Pacific oyster","1462.49","1","20446446","4105806699","d34-4-6","Bisulfite-Seq","GENOMIC","other"
"ERX10398944","Illumina NovaSeq 6000 paired end sequencing; D31_2_24","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733661","Pacific oyster","1749.4","1","24758516","4969486487","d31-2-24","Bisulfite-Seq","GENOMIC","other"
"ERX10398943","Illumina NovaSeq 6000 paired end sequencing; D29_5_140","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733660","Pacific oyster","2138.43","1","30662467","6149061760","d29-5-140","Bisulfite-Seq","GENOMIC","other"
"ERX10398942","Illumina NovaSeq 6000 paired end sequencing; D2_7_679","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733659","Pacific oyster","2007.04","1","28637027","5745823084","d2-7-679","Bisulfite-Seq","GENOMIC","other"
"ERX10398941","Illumina NovaSeq 6000 paired end sequencing; D26_3_405","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733658","Pacific oyster","1430.64","1","19271329","3867963407","d26-3-405","Bisulfite-Seq","GENOMIC","other"
